,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
74,ABW,AURORA ABSOLUTE RETURN FUND,6/30/2016,263.0,Not Applic,-18.585302965191218
75,ARM,AURORA MINERALS LIMITED,6/30/2016,480.0,Materials,-6.239743132358192
76,AQD,AUSQUEST LIMITED,6/30/2017,3399.0,Materials,51.01886792452827
77,AGD,AUSTRAL GOLD LIMITED,6/30/2017,81.0,Materials,-31.50207468879669
78,AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,3/31/2016,45.0,"Food, Beverage & Tobacco",-0.7717238139971818
79,ABX,AUSTRALIAN BAUXITE LIMITED.,12/31/2015,252.99999999999997,Materials,-37.183048433048434
80,AHF,AUSTRALIAN DAIRY FARMS GROUP,6/30/2016,261.0,"Food, Beverage & Tobacco",-37.75663716814159
81,AFG,AUSTRALIAN FINANCE GROUP LTD,6/30/2006,59.0,Banks,
82,ALF,AUSTRALIAN LEADERS FUND LIMITED,6/30/2016,252.0,Diversified Financials,-15.871180735370272
83,AQC,AUSTRALIAN PACIFIC COAL LIMITED,6/30/2016,1829.0,Materials,-44.91601123595505
84,ARC,AUSTRALIAN RURAL CAPITAL LIMITED,6/30/2016,750.0,Diversified Financials,-2.156355077336919
85,AOF,AUSTRALIAN UNITY OFFICE FUND,6/30/2018,48.0,Real Estate,0.0
86,AVL,AUSTRALIAN VANADIUM LIMITED,6/30/2016,45.0,Materials,17.165991902833994
87,ANS,AUSTSINO RESOURCES GROUP LIMITED,6/30/2017,840.0,Materials,78.5714285714285
88,AVA,AVA RISK GROUP LIMITED,6/30/2018,54.0,Technology Hardware & Equipment,0.0
89,AVN,AVENTUS RETAIL PROPERTY FUND,6/30/2016,802.0,Real Estate,5.663288094829066
90,AOG,AVEO GROUP,6/30/2016,49.0,Real Estate,-12.570355822550841
91,AVH,AVITA MEDICAL LTD,6/30/2018,40.0,"Pharmaceuticals, Biotechnology & Life Sciences",0.0
92,AVJ,AVJENNINGS LIMITED,6/30/2016,33.0,Real Estate,14.510970979988418
93,AVQ,AXIOM MINING LIMITED,9/30/2016,157.0,Materials,-15.271978829755954
94,AXL,AXSESSTODAY LIMITED,6/30/2016,6146.0,Diversified Financials,17.525291828793772
95,AZS,AZURE MINERALS LIMITED,6/30/2015,861.0,Materials,64.02102803738315
96,BBN,BABY BUNTING GROUP LIMITED,6/26/2016,31.0,Retailing,-26.181194184072627
97,BTI,BAILADOR TECHNOLOGY INVESTMENTS LIMITED,6/30/2016,94.0,Diversified Financials,1.8321219641907467
98,BAP,BAPCOR LIMITED,6/30/2016,83.0,Retailing,5.891455972101134
99,BAR,BARRA RESOURCES LIMITED,6/30/2015,4430.0,Materials,426.46511627906943
100,BST,BARRACK ST INVESTMENTS LIMITED,6/30/2015,8163339.999999999,Not Applic,10.526928048255067
101,BAS,BASS OIL LIMITED,6/30/2017,5438.0,Energy,85.1724137931034
102,BMH,BAUMART HOLDINGS LIMITED,6/30/2017,307.0,Capital Goods,4.0137221269296735
103,BCI,BCI MINERALS LIMITED,6/30/2017,57.99999999999999,Materials,-13.614114968696644
104,BPT,BEACH ENERGY LIMITED,6/30/2018,92.0,Energy,0.0
105,BCN,BEACON MINERALS LIMITED,6/30/2015,433.0,Materials,11.276595744680845
106,BAL,BELLAMY'S AUSTRALIA LIMITED,6/30/2016,87.0,"Food, Beverage & Tobacco",-36.0436826240229
107,BLT,BENITEC BIOPHARMA LIMITED,6/30/2017,174.0,"Pharmaceuticals, Biotechnology & Life Sciences",20.508825319537422
108,BEL,BENTLEY CAPITAL LIMITED,6/30/2016,36.0,Diversified Financials,-16.99079903147699
109,BKY,BERKELEY ENERGIA LIMITED,6/30/2017,86.0,Energy,-3.9612350687401383
