,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
110,BID,BIDENERGY LIMITED,6/30/2016,68.0,Software & Services,-72.60999999999999
111,BTH,BIGTINCAN HOLDINGS LIMITED,6/30/2016,36.0,Software & Services,
112,BIN,BINGO INDUSTRIES LIMITED,6/30/2016,40.0,Commercial & Professional Services,
113,BNO,BIONOMICS LIMITED,6/30/2017,41.0,"Pharmaceuticals, Biotechnology & Life Sciences",21.931737040034278
114,BIS,BISALLOY STEEL GROUP LIMITED,6/30/2018,38.0,Materials,0.0
115,BSN,BISAN LIMITED,6/30/2016,303.0,Diversified Financials,
116,BKL,BLACKMORES LIMITED,6/30/2016,54.0,Household & Personal Products,-19.27508411408458
117,BWF,BLACKWALL LIMITED,6/30/2017,61.0,Diversified Financials,8.732479930570623
118,BWR,BLACKWALL PROPERTY TRUST,6/30/2016,44.0,Real Estate,-1.9112429477112778
119,BCT,BLUECHIIP LIMITED,6/30/2016,360.0,Technology Hardware & Equipment,28.315068493150665
120,BLG,BLUGLASS LIMITED,6/30/2017,86.0,Semiconductors & Semiconductor Equipment,24.898013245033123
121,BMG,BMG RESOURCES LIMITED,6/30/2017,6418.000000000001,Materials,18.513931888544874
122,BDA,BOD AUSTRALIA LIMITED,6/30/2017,156.0,Retailing,169.5881517549199
123,BAH,BOJUN AGRICULTURE HOLDINGS LIMITED,9/30/2015,53.0,"Food, Beverage & Tobacco",
124,BLD,BORAL LIMITED.,6/30/2018,35.0,Materials,0.0
125,BOE,BOSS RESOURCES LIMITED,6/30/2016,53.0,Materials,17.407264296754256
126,B2Y,BOUNTY MINING LIMITED,6/30/2016,11199.0,Materials,
127,BUY,BOUNTY OIL & GAS NL,6/30/2017,164.0,Energy,-17.002724795640315
128,BRB,BREAKER RESOURCES NL,6/30/2016,93991.0,Materials,114.63364361702126
129,BBL,BRISBANE BRONCOS LIMITED,12/31/2017,38.0,Media,4.4577522559474945
130,BPL,BROKEN HILL PROSPECTING LIMITED,6/30/2016,79.0,Materials,-36.31657690005985
131,BEE,BROO LTD,6/30/2017,90.0,"Food, Beverage & Tobacco",-43.32132963988919
132,BUB,BUBS AUSTRALIA LIMITED,6/30/2016,101.0,"Food, Beverage & Tobacco",457.65079365079384
133,BIQ,"BUILDINGIQ, INC",12/31/2015,200.99999999999997,Software & Services,-50.71287128712871
134,BRU,BURU ENERGY LIMITED,12/31/2017,3504.0,Energy,55.70370370370371
135,BUX,BUXTON RESOURCES LIMITED,6/30/2016,1030.0,Materials,122.82721382289424
136,BMP,BUYMYPLACE.COM.AU LIMITED,6/30/2017,94.0,Real Estate,-41.47317073170733
137,BWX,BWX LIMITED,6/30/2016,95.0,Household & Personal Products,25.548694606664384
138,BPG,BYTE POWER GROUP LIMITED,6/30/2017,32.0,Retailing,
139,CXL,CALIX LIMITED,6/30/2016,78.0,Not Applic,
140,CAN,CANN GROUP LIMITED,6/30/2018,17753.0,"Pharmaceuticals, Biotechnology & Life Sciences",0.0
141,CAE,CANNINDAH RESOURCES LIMITED,6/30/2017,47.0,Materials,53.55113636363641
142,CAQ,CAQ HOLDINGS LIMITED,12/31/2015,219.0,Real Estate,-12.177880386983281
143,CVV,CARAVEL MINERALS LIMITED,6/30/2016,1696.0,Materials,-25.715261958997715
144,CRB,CARBINE RESOURCES LIMITED,12/31/2017,74.0,Materials,-53.71527777777778
145,CG1,CARBONXT GROUP LIMITED,6/30/2016,3105.0,Materials,
146,CDV,CARDINAL RESOURCES LIMITED,6/30/2016,729.0,Materials,76.61059190031153
147,CAV,CARNAVALE RESOURCES LIMITED,6/30/2015,99.0,Materials,-21.646039603960386
148,CCE,CARNEGIE CLEAN ENERGY LIMITED,6/30/2017,366.0,Utilities,-46.5459514861633
149,CMD,CASSIUS MINING LIMITED,6/30/2016,267.0,Materials,-2.2053691275167795
150,CYL,CATALYST METALS LIMITED,6/30/2015,2109.0,Materials,63.93914680050188
