Asx Code,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
AVJ,AVJ,AVJENNINGS LIMITED,6/30/2016,33.0,Real Estate,14.510970979988418
AVQ,AVQ,AXIOM MINING LIMITED,9/30/2016,157.0,Materials,-15.271978829755955
AZS,AZS,AZURE MINERALS LIMITED,6/30/2015,861.0,Materials,64.02102803738315
BBN,BBN,BABY BUNTING GROUP LIMITED,6/26/2016,31.0,Retailing,-26.181194184072627
BTI,BTI,BAILADOR TECHNOLOGY INVESTMENTS LIMITED,6/30/2016,94.0,Diversified Financials,1.832121964190747
BAP,BAP,BAPCOR LIMITED,6/30/2016,83.0,Retailing,5.891455972101134
BAR,BAR,BARRA RESOURCES LIMITED,6/30/2015,4430.0,Materials,426.46511627906943
BST,BST,BARRACK ST INVESTMENTS LIMITED,6/30/2015,8163339.999999999,Not Applic,10.526928048255067
BMH,BMH,BAUMART HOLDINGS LIMITED,6/30/2017,307.0,Capital Goods,4.0137221269296735
BCI,BCI,BCI MINERALS LIMITED,6/30/2017,57.99999999999999,Materials,-13.614114968696644
BPT,BPT,BEACH ENERGY LIMITED,6/30/2018,92.0,Energy,0.0
BCN,BCN,BEACON MINERALS LIMITED,6/30/2015,433.0,Materials,11.276595744680845
BAL,BAL,BELLAMY'S AUSTRALIA LIMITED,6/30/2016,87.0,"Food, Beverage & Tobacco",-36.0436826240229
BLT,BLT,BENITEC BIOPHARMA LIMITED,6/30/2017,174.0,"Pharmaceuticals, Biotechnology & Life Sciences",20.508825319537426
BEL,BEL,BENTLEY CAPITAL LIMITED,6/30/2016,36.0,Diversified Financials,-16.990799031476993
BKY,BKY,BERKELEY ENERGIA LIMITED,6/30/2017,86.0,Energy,-3.9612350687401374
BNO,BNO,BIONOMICS LIMITED,6/30/2017,41.0,"Pharmaceuticals, Biotechnology & Life Sciences",21.931737040034278
BIS,BIS,BISALLOY STEEL GROUP LIMITED,6/30/2018,38.0,Materials,0.0
BSN,BSN,BISAN LIMITED,6/30/2016,303.0,Diversified Financials,
BKL,BKL,BLACKMORES LIMITED,6/30/2016,54.0,Household & Personal Products,-19.275084114084578
BWF,BWF,BLACKWALL LIMITED,6/30/2017,61.0,Diversified Financials,8.732479930570621
BWR,BWR,BLACKWALL PROPERTY TRUST,6/30/2016,44.0,Real Estate,-1.9112429477112776
BCT,BCT,BLUECHIIP LIMITED,6/30/2016,360.0,Technology Hardware & Equipment,28.31506849315066
BLG,BLG,BLUGLASS LIMITED,6/30/2017,86.0,Semiconductors & Semiconductor Equipment,24.898013245033127
BMG,BMG,BMG RESOURCES LIMITED,6/30/2017,6418.000000000001,Materials,18.513931888544874
BDA,BDA,BOD AUSTRALIA LIMITED,6/30/2017,156.0,Retailing,169.58815175491992
BAH,BAH,BOJUN AGRICULTURE HOLDINGS LIMITED,9/30/2015,53.0,"Food, Beverage & Tobacco",
BLD,BLD,BORAL LIMITED.,6/30/2018,35.0,Materials,0.0
BUY,BUY,BOUNTY OIL & GAS NL,6/30/2017,164.0,Energy,-17.002724795640315
BRB,BRB,BREAKER RESOURCES NL,6/30/2016,93991.0,Materials,114.63364361702128
BBL,BBL,BRISBANE BRONCOS LIMITED,12/31/2017,38.0,Media,4.457752255947495
BPL,BPL,BROKEN HILL PROSPECTING LIMITED,6/30/2016,79.0,Materials,-36.31657690005985
BEE,BEE,BROO LTD,6/30/2017,90.0,"Food, Beverage & Tobacco",-43.321329639889186
BUB,BUB,BUBS AUSTRALIA LIMITED,6/30/2016,101.0,"Food, Beverage & Tobacco",457.6507936507938
BIQ,BIQ,"BUILDINGIQ, INC",12/31/2015,201.0,Software & Services,-50.71287128712871
BRU,BRU,BURU ENERGY LIMITED,12/31/2017,3504.0,Energy,55.70370370370371
BUX,BUX,BUXTON RESOURCES LIMITED,6/30/2016,1030.0,Materials,122.82721382289424
BMP,BMP,BUYMYPLACE.COM.AU LIMITED,6/30/2017,94.0,Real Estate,-41.47317073170733
BWX,BWX,BWX LIMITED,6/30/2016,95.0,Household & Personal Products,25.548694606664387
BPG,BPG,BYTE POWER GROUP LIMITED,6/30/2017,32.0,Retailing,
