Asx Code,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
STM,STM,SUNSTONE METALS LTD,6/30/2017,534.0,Materials,87.21868365180464
SLC,SLC,SUPERLOOP LIMITED,6/30/2016,100914.0,Telecommunication Services,1.3865325077399382
SW1,SW1,SWIFT NETWORKS GROUP LIMITED,6/30/2016,941.0,Technology Hardware & Equipment,62.164637116414966
SOP,SOP,SYNERTEC CORPORATION LIMITED,6/30/2016,47.0,Commercial & Professional Services,75.44815465729343
SM1,SM1,SYNLAIT MILK LIMITED,7/31/2017,39.0,"Food, Beverage & Tobacco",101.07515503707884
TAH,TAH,TABCORP HOLDINGS LIMITED,6/30/2018,71.0,Consumer Services,0.0
TMK,TMK,TAMASKA OIL AND GAS LTD,6/30/2015,87.0,Energy,
TAM,TAM,TANAMI GOLD NL,6/30/2017,328.0,Materials,-28.5239985564778
TAR,TAR,TARUGA MINERALS LIMITED,6/30/2015,40.0,Materials,-60.495596615437755
TFL,TFL,TASFOODS LIMITED,12/31/2015,126.0,"Food, Beverage & Tobacco",-4.422758620689657
TGR,TGR,TASSAL GROUP LIMITED,6/30/2016,39.0,"Food, Beverage & Tobacco",2.1605348043569728
TAW,TAW,TAWANA RESOURCES NL,12/31/2017,223.0,Materials,68.58029480217222
TDL,TDL,TBG DIAGNOSTICS LIMITED,12/31/2017,49.0,"Pharmaceuticals, Biotechnology & Life Sciences",-53.388981636060116
TMP,TMP,TECH MPIRE LIMITED,6/30/2016,171.0,Media,-24.786342472840136
TCN,TCN,TECHNICHE LIMITED.,6/30/2018,62.0,Diversified Financials,0.0
TPW,TPW,TEMPLE & WEBSTER GROUP LTD,6/30/2016,95.0,Retailing,1.2316034082106893
TPP,TPP,TEMPO AUSTRALIA LTD,12/31/2015,393.0,Commercial & Professional Services,220.1988950276244
TMX,TMX,TERRAIN MINERALS LIMITED,6/30/2017,97.0,Materials,-20.88353413654617
TBH,TBH,THE BETMAKERS HOLDINGS LTD,6/30/2016,156.0,Consumer Services,46.81940144478841
DXN,DXN,THE DATA EXCHANGE NETWORK LIMITED,6/30/2018,782.0,Software & Services,0.0
TNK,TNK,THINK CHILDCARE LIMITED,12/31/2015,168.0,Consumer Services,73.10169165705497
TMZ,TMZ,THOMSON RESOURCES LIMITED,6/30/2017,51.0,Materials,-10.588670862643466
THX,THX,THUNDELARRA LIMITED,9/30/2015,56.99999999999999,Materials,-35.83410780669145
TIA,TIA,TIAN AN AUSTRALIA LIMITED,6/30/2016,109.0,Real Estate,20.816371144036935
TKF,TKF,TIKFORCE LIMITED,6/30/2016,105.0,Software & Services,-49.23814743765415
TFG,TFG,TOTAL FACE GROUP LIMITED,6/30/2016,302.0,Consumer Services,
TPM,TPM,TPG TELECOM LIMITED,7/31/2015,31.0,Telecommunication Services,10.948921679909198
TSN,TSN,TRANSACTION SOLUTIONS INTERNATIONAL LIMITED,3/31/2018,5713.0,Software & Services,0.0
TBR,TBR,TRIBUNE RESOURCES LIMITED,6/30/2016,34.0,Materials,12.547434795070222
TRM,TRM,TRUSCOTT MINING CORPORATION LIMITED,6/30/2016,152.0,Materials,-19.90932642487047
TSC,TSC,TWENTY SEVEN CO. LIMITED,6/30/2017,160.0,Energy,-1.1818181818181812
TYK,TYK,TYCHEAN RESOURCES LTD,6/30/2016,1671.0,Materials,-29.62732919254657
TYX,TYX,TYRANNA RESOURCES LIMITED,6/30/2015,5547.0,Materials,41.7252931323283
TZL,TZL,TZ LIMITED,6/30/2016,37.0,Technology Hardware & Equipment,-54.21451709658071
UIL,UIL,UIL ENERGY LTD,6/30/2015,396.0,Energy,-2.908327953518399
UOS,UOS,UNITED OVERSEAS AUSTRALIA LIMITED,12/31/2015,53.0,Real Estate,1.3710273466371028
UNV,UNV,UNIVERSAL COAL PLC,6/30/2016,30.0,Energy,-7.446761800219539
URF,URF,US MASTERS RESIDENTIAL PROPERTY FUND,12/31/2015,164.0,Real Estate,-3.5592185592185586
UCM,UCM,USCOM LIMITED,6/30/2016,44.0,Health Care Equipment & Services,-15.964897959183672
VMX,VMX,VALMEC LIMITED,6/30/2017,43.0,Energy,94.30457440648527
VAN,VAN,VANGO MINING LIMITED,6/30/2015,60.0,Materials,219.11940298507446
VAR,VAR,VARISCAN MINES LIMITED,6/30/2015,66.0,Materials,-20.661016949152547
VMS,VMS,VENTURE MINERALS LIMITED,6/30/2017,47.0,Materials,10.116731517509725
VXR,VXR,VENTUREX RESOURCES LIMITED,6/30/2015,120.0,Materials,65.66666666666671
VMC,VMC,VENUS METALS CORPORATION LIMITED,6/30/2016,425.0,Materials,-27.63947078280044
VRI,VRI,VERILUMA LIMITED,6/30/2017,1850.0,Software & Services,
VRS,VRS,VERIS LIMITED,6/30/2016,75.0,Commercial & Professional Services,-27.66007840574976
VCX,VCX,VICINITY CENTRES,6/30/2016,54.0,Real Estate,-11.470531400966186
VIG,VIG,VICTOR GROUP HOLDINGS LIMITED,6/30/2017,64.0,Software & Services,
VGL,VGL,VISTA GROUP INTERNATIONAL LIMITED.,12/31/2015,39.0,Software & Services,21.992597521417288
VVR,VVR,VIVA ENERGY REIT,12/31/2017,49.0,Real Estate,-7.800440454006438
VIV,VIV,VIVID TECHNOLOGY LIMITED,6/30/2016,251.0,Capital Goods,-28.29406501640323
VOC,VOC,VOCUS GROUP LIMITED,6/30/2016,454.0,Telecommunication Services,-54.29029318335677
VPG,VPG,VODAFONE GROUP PLC.,6/30/2008,402.0,Not Applic,
VRC,VRC,VOLT RESOURCES LIMITED,6/30/2016,404.0,Materials,-51.01440922190203
WAM,WAM,WAM CAPITAL LIMITED,6/30/2016,124.0,Diversified Financials,1.4299390774586602
SOL,SOL,WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,7/31/2017,44.0,Energy,14.885819128522215
WMK,WMK,WATERMARK MARKET NEUTRAL FUND LIMITED,6/30/2016,241.0,Not Applic,-2.0193236714975846
WEB,WEB,WEBJET LIMITED,6/30/2017,34.0,Retailing,10.240972080005461
WBA,WBA,WEBSTER LIMITED,6/30/2016,105.0,"Food, Beverage & Tobacco",14.57416719044626
WLL,WLL,WELLCOM GROUP LIMITED,6/30/2016,35.0,Commercial & Professional Services,-9.018965645726214
WWI,WWI,WEST WITS MINING LIMITED,6/30/2015,150.0,Materials,66.24999999999996
WHC,WHC,WHITEHAVEN COAL LIMITED,6/30/2016,52.0,Energy,103.95492246664264
WND,WND,WINDLAB LIMITED,12/31/2015,78.0,Utilities,
WNR,WNR,WINGARA AG LTD,6/30/2016,262.0,"Food, Beverage & Tobacco",-57.8125
WFE,WFE,WINMAR RESOURCES LIMITED,6/30/2016,790.0,Materials,
WTC,WTC,WISETECH GLOBAL LIMITED,6/30/2016,47.0,Software & Services,54.861069645338965
WZR,WZR,WISR LIMITED,6/30/2016,406.0,Diversified Financials,-30.028328611897997
WMC,WMC,WONHE MULTIMEDIA COMMERCE LTD,12/31/2015,668.0,Technology Hardware & Equipment,-48.66666666666666
WPP,WPP,WPP AUNZ LTD,12/31/2016,91.0,Media,7.368983957219251
XPD,XPD,XPD SOCCER GEAR GROUP LIMITED,12/31/2015,36.0,Consumer Durables & Apparel,
XPE,XPE,XPED LIMITED,6/30/2017,9493.0,Software & Services,-78.27956989247306
XF1,XF1,XREF LIMITED,6/30/2016,256.0,Software & Services,9.968236973590288
XST,XST,XSTATE RESOURCES LIMITED,12/31/2017,364.0,Energy,-34.057507987220426
XTD,XTD,XTD LTD,6/30/2016,185.0,Media,-59.6050105147664
XTE,XTE,XTEK LIMITED.,6/30/2017,169.0,Capital Goods,25.17330944917151
YAL,YAL,YANCOAL AUSTRALIA LIMITED,12/31/2017,111.0,Energy,-21.77079995727865
YPB,YPB,YPB GROUP LTD,12/31/2015,908.0,Commercial & Professional Services,-24.85019455252918
ZLD,ZLD,ZELDA THERAPEUTICS LIMITED,6/30/2018,214.0,"Pharmaceuticals, Biotechnology & Life Sciences",0.0
ZEN,ZEN,ZENITH ENERGY LIMITED,6/30/2018,65.0,Utilities,0.0
ZNC,ZNC,ZENITH MINERALS LIMITED,6/30/2017,131.0,Materials,62.743055555555586
ZER,ZER,ZETA RESOURCES LIMITED,6/30/2018,150.0,Not Applic,0.0
ZIP,ZIP,ZIPTEL LIMITED,6/30/2016,53.0,Telecommunication Services,-86.90579424517145
